iter	Passed	Remaining
0	0	92
1	2	99
2	2	95
3	3	89
4	4	88
5	5	84
6	6	82
7	7	81
8	7	79
9	8	78
10	9	77
11	10	77
12	11	76
13	12	75
14	13	75
15	14	74
16	15	73
17	15	72
18	16	71
19	17	70
20	18	68
21	18	67
22	19	65
23	20	63
24	20	62
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	48
41	33	46
42	34	45
43	35	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	36
54	43	35
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	56	20
74	57	19
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	62	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	75	0
