iter	Passed	Remaining
0	148	148107
1	150	74995
2	151	50445
3	153	38113
4	154	30675
5	155	25723
6	156	22213
7	157	19571
8	159	17516
9	160	15856
10	161	14507
11	162	13378
12	163	12428
13	165	11624
14	166	10906
15	167	10280
16	168	9750
17	169	9262
18	170	8810
19	171	8406
20	172	8040
21	173	7715
22	174	7421
23	175	7154
24	177	6911
25	178	6674
26	179	6459
27	180	6259
28	181	6068
29	182	5889
30	182	5714
31	183	5555
32	184	5406
33	185	5269
34	186	5136
35	187	5009
36	187	4890
37	188	4776
38	189	4671
39	190	4569
40	191	4471
41	192	4383
42	193	4297
43	193	4214
44	194	4134
45	195	4056
46	196	3985
47	197	3917
48	198	3851
49	199	3789
50	200	3731
51	201	3668
52	201	3608
53	203	3556
54	203	3504
55	204	3452
56	205	3402
57	206	3355
58	207	3308
59	208	3260
60	209	3220
61	210	3184
62	211	3144
63	212	3105
64	213	3066
65	213	3027
66	214	2988
67	215	2954
68	216	2923
69	217	2889
70	218	2857
71	219	2824
72	219	2792
73	220	2760
74	221	2730
75	222	2703
76	223	2678
77	224	2654
78	225	2628
79	226	2601
80	227	2577
81	228	2553
82	228	2526
83	229	2505
84	230	2482
85	231	2459
86	232	2436
87	233	2415
88	233	2393
89	234	2373
90	235	2353
91	236	2333
92	237	2312
93	237	2293
94	238	2273
95	239	2252
96	239	2233
97	240	2215
98	241	2198
99	242	2181
100	243	2165
101	244	2148
102	245	2134
103	245	2118
104	246	2104
105	247	2090
106	248	2075
107	249	2060
108	250	2045
109	250	2030
110	251	2014
111	252	2000
112	253	1987
113	254	1974
114	254	1961
115	255	1948
116	256	1933
117	256	1920
118	257	1907
119	258	1894
120	259	1883
121	260	1871
122	260	1860
123	261	1849
124	262	1837
125	263	1826
126	263	1814
127	264	1803
128	265	1793
129	266	1783
130	267	1773
131	268	1762
132	268	1752
133	269	1742
134	270	1731
135	270	1721
136	271	1711
137	272	1703
138	273	1694
139	274	1685
140	275	1676
141	275	1665
142	276	1655
143	276	1645
144	277	1636
145	278	1627
146	279	1619
147	280	1612
148	280	1604
149	281	1596
150	282	1588
151	283	1579
152	283	1570
153	284	1562
154	285	1556
155	286	1549
156	287	1541
157	287	1534
158	288	1526
159	289	1519
160	289	1510
161	290	1503
162	291	1496
163	292	1490
164	293	1484
165	294	1477
166	294	1469
167	295	1462
168	296	1455
169	296	1448
170	297	1442
171	298	1436
172	299	1429
173	299	1423
174	300	1416
175	301	1410
176	301	1404
177	302	1397
178	303	1392
179	304	1387
180	305	1381
181	306	1375
182	306	1369
183	307	1363
184	307	1356
185	308	1350
186	309	1345
187	310	1340
188	311	1335
189	311	1329
190	312	1323
191	313	1318
192	313	1312
193	314	1307
194	315	1302
195	316	1297
196	317	1293
197	317	1287
198	318	1282
199	319	1278
200	320	1273
201	321	1268
202	321	1263
203	322	1259
204	323	1254
205	324	1249
206	324	1244
207	325	1239
208	326	1234
209	326	1229
210	327	1225
211	328	1220
212	329	1216
213	330	1212
214	330	1208
215	331	1204
216	332	1199
217	333	1194
218	333	1190
219	334	1185
220	335	1181
221	336	1177
222	336	1173
223	337	1169
224	338	1164
225	338	1160
226	339	1155
227	340	1151
228	340	1147
229	341	1143
230	342	1139
231	343	1136
232	344	1132
233	344	1128
234	345	1124
235	346	1120
236	346	1116
237	347	1112
238	348	1108
239	349	1105
240	349	1101
241	350	1097
242	350	1093
243	351	1089
244	352	1085
245	352	1081
246	353	1077
247	354	1074
248	355	1071
249	356	1068
250	356	1064
251	357	1061
252	358	1057
253	358	1053
254	359	1050
255	360	1046
256	362	1046
257	362	1043
258	363	1039
259	364	1036
260	364	1033
261	365	1029
262	366	1025
263	366	1022
264	367	1019
265	368	1016
266	368	1012
267	369	1009
268	370	1005
269	370	1002
270	371	999
271	372	996
272	373	993
273	373	990
274	374	987
275	375	984
276	376	981
277	376	978
278	377	974
279	377	971
280	378	968
281	379	965
282	380	962
283	380	959
284	381	956
285	382	953
286	382	950
287	383	947
288	384	944
289	384	942
290	385	939
291	386	937
292	387	935
293	388	932
294	389	930
295	389	927
296	390	924
297	391	921
298	392	919
299	393	917
300	393	914
301	394	911
302	394	908
303	395	905
304	396	902
305	396	900
306	397	897
307	398	894
308	399	892
309	399	889
310	400	886
311	401	884
312	401	881
313	402	879
314	403	876
315	403	873
316	404	871
317	405	869
318	405	866
319	406	863
320	407	861
321	407	858
322	408	855
323	409	853
324	409	851
325	410	848
326	411	846
327	412	844
328	412	841
329	413	839
330	414	837
331	414	834
332	415	832
333	416	829
334	416	827
335	417	824
336	418	822
337	418	820
338	419	818
339	420	815
340	420	813
341	421	810
342	422	808
343	422	806
344	423	803
345	424	802
346	425	799
347	425	797
348	426	795
349	427	793
350	427	791
351	428	789
352	429	786
353	429	784
354	430	782
355	431	780
356	432	778
357	433	776
358	434	774
359	434	772
360	435	770
361	436	768
362	437	767
363	437	764
364	438	762
365	439	760
366	439	758
367	440	756
368	441	754
369	441	752
370	442	750
371	443	748
372	444	746
373	444	744
374	445	742
375	445	740
376	446	738
377	447	735
378	448	734
379	448	732
380	449	730
381	450	728
382	450	726
383	451	724
384	452	722
385	452	720
386	453	718
387	454	716
388	454	714
389	455	712
390	456	711
391	457	709
392	458	707
393	458	705
394	459	704
395	460	701
396	460	699
397	461	698
398	462	696
399	463	694
400	463	692
401	464	690
402	465	689
403	465	687
404	466	685
405	467	683
406	467	681
407	468	679
408	469	678
409	470	676
410	470	674
411	471	673
412	472	671
413	472	669
414	473	667
415	474	665
416	475	664
417	475	662
418	476	660
419	477	658
420	477	656
421	478	654
422	478	653
423	479	651
424	480	649
425	480	647
426	481	646
427	482	644
428	482	642
429	483	641
430	484	639
431	485	638
432	485	636
433	486	634
434	487	633
435	488	631
436	488	629
437	489	628
438	490	626
439	490	624
440	491	623
441	492	621
442	492	619
443	493	618
444	494	616
445	495	615
446	496	613
447	496	612
448	497	610
449	498	609
450	499	607
451	500	606
452	501	604
453	501	603
454	502	601
455	503	600
456	504	598
457	504	597
458	505	595
459	506	594
460	507	593
461	508	591
462	508	590
463	509	588
464	510	586
465	510	585
466	511	584
467	512	582
468	513	581
469	514	579
470	514	578
471	515	576
472	516	575
473	517	574
474	518	572
475	518	571
476	519	569
477	520	568
478	521	567
479	522	565
480	522	564
481	523	562
482	524	561
483	525	560
484	526	559
485	527	557
486	528	556
487	528	554
488	529	553
489	530	552
490	531	550
491	531	549
492	532	547
493	533	546
494	534	545
495	534	543
496	535	541
497	536	540
498	536	538
499	537	537
500	538	536
501	539	535
502	540	533
503	541	532
504	541	531
505	542	529
506	543	528
507	543	526
508	544	525
509	545	523
510	546	522
511	546	521
512	547	519
513	548	518
514	548	516
515	549	515
516	550	513
517	550	512
518	551	511
519	552	509
520	553	508
521	553	507
522	554	505
523	555	504
524	556	503
525	556	501
526	557	500
527	558	499
528	559	497
529	559	496
530	560	494
531	561	493
532	561	492
533	562	490
534	563	489
535	564	488
536	565	487
537	565	485
538	566	484
539	567	483
540	567	481
541	568	480
542	569	479
543	570	478
544	571	476
545	571	475
546	572	474
547	573	472
548	573	471
549	574	470
550	575	468
551	575	467
552	576	466
553	577	464
554	578	463
555	578	462
556	579	460
557	580	459
558	580	458
559	581	457
560	582	455
561	583	454
562	584	453
563	585	452
564	585	451
565	586	449
566	587	448
567	587	447
568	588	445
569	589	444
570	590	443
571	590	442
572	591	440
573	592	439
574	593	438
575	593	437
576	594	435
577	595	434
578	596	433
579	597	432
580	597	431
581	598	430
582	599	428
583	600	427
584	600	426
585	601	425
586	602	423
587	603	422
588	603	421
589	604	420
590	605	419
591	606	417
592	606	416
593	607	415
594	608	414
595	609	412
596	610	411
597	610	410
598	611	409
599	612	408
600	612	406
601	613	405
602	614	404
603	615	403
604	616	402
605	616	401
606	617	399
607	618	398
608	619	397
609	620	396
610	621	395
611	621	394
612	622	393
613	623	391
614	624	390
615	625	389
616	625	388
617	626	387
618	627	386
619	628	385
620	629	384
621	630	382
622	630	381
623	631	380
624	632	379
625	633	378
626	633	377
627	634	375
628	635	374
629	636	373
630	637	372
631	638	371
632	638	370
633	639	369
634	640	368
635	641	367
636	641	365
637	642	364
638	643	363
639	643	362
640	644	360
641	645	359
642	646	358
643	646	357
644	647	356
645	648	355
646	648	353
647	649	352
648	650	351
649	650	350
650	651	349
651	652	348
652	653	347
653	654	346
654	654	344
655	655	343
656	656	342
657	657	341
658	657	340
659	658	339
660	659	338
661	660	337
662	660	335
663	661	334
664	662	333
665	662	332
666	663	331
667	664	330
668	665	329
669	665	328
670	666	326
671	667	325
672	668	324
673	669	323
674	670	322
675	671	321
676	672	320
677	672	319
678	673	318
679	674	317
680	675	316
681	675	315
682	676	314
683	677	313
684	678	312
685	679	311
686	680	310
687	681	308
688	682	307
689	683	306
690	684	306
691	685	305
692	686	304
693	687	302
694	687	301
695	688	300
696	689	299
697	690	298
698	691	297
699	692	296
700	693	295
701	694	294
702	694	293
703	695	292
704	696	291
705	697	290
706	698	289
707	699	288
708	700	287
709	700	286
710	701	285
711	702	284
712	703	283
713	704	282
714	705	281
715	706	280
716	706	278
717	707	277
718	708	276
719	709	275
720	710	274
721	711	273
722	711	272
723	712	271
724	713	270
725	714	269
726	715	268
727	716	267
728	716	266
729	717	265
730	718	264
731	719	263
732	720	262
733	720	261
734	721	260
735	722	259
736	723	258
737	724	257
738	725	256
739	725	254
740	726	253
741	727	252
742	728	251
743	729	250
744	729	249
745	730	248
746	731	247
747	732	246
748	733	245
749	734	244
750	735	243
751	736	242
752	737	241
753	737	240
754	738	239
755	739	238
756	740	237
757	741	236
758	741	235
759	742	234
760	743	233
761	744	232
762	745	231
763	745	230
764	747	229
765	747	228
766	748	227
767	749	226
768	750	225
769	751	224
770	751	223
771	752	222
772	753	221
773	754	220
774	755	219
775	756	218
776	756	217
777	757	216
778	758	215
779	759	214
780	760	213
781	760	212
782	761	211
783	762	210
784	763	208
785	763	207
786	764	206
787	765	205
788	766	204
789	767	203
790	768	202
791	768	201
792	769	200
793	770	199
794	771	198
795	772	197
796	773	196
797	773	195
798	774	194
799	775	193
800	776	192
801	776	191
802	777	190
803	779	189
804	779	188
805	780	187
806	781	186
807	782	185
808	783	184
809	784	183
810	785	182
811	785	181
812	786	180
813	787	179
814	788	178
815	788	177
816	789	176
817	790	175
818	791	174
819	792	173
820	792	172
821	793	171
822	794	170
823	795	169
824	796	168
825	796	167
826	797	166
827	798	165
828	799	164
829	800	163
830	800	162
831	801	161
832	802	160
833	803	159
834	804	158
835	804	157
836	805	156
837	806	155
838	807	154
839	808	153
840	808	152
841	809	151
842	810	150
843	811	149
844	812	148
845	813	148
846	813	146
847	814	145
848	815	144
849	815	143
850	816	143
851	817	142
852	818	141
853	819	140
854	819	139
855	820	138
856	821	137
857	822	136
858	822	135
859	823	134
860	824	133
861	825	132
862	825	131
863	826	130
864	827	129
865	827	128
866	828	127
867	829	126
868	830	125
869	830	124
870	831	123
871	832	122
872	832	121
873	833	120
874	834	119
875	835	118
876	835	117
877	836	116
878	837	115
879	837	114
880	838	113
881	839	112
882	839	111
883	840	110
884	841	109
885	842	108
886	842	107
887	843	106
888	844	105
889	844	104
890	845	103
891	846	102
892	847	101
893	847	100
894	848	99
895	849	98
896	850	97
897	850	96
898	851	95
899	852	94
900	852	93
901	853	92
902	854	91
903	855	90
904	855	89
905	856	88
906	857	87
907	857	86
908	858	85
909	859	84
910	860	84
911	860	83
912	861	82
913	862	81
914	862	80
915	863	79
916	864	78
917	865	77
918	865	76
919	866	75
920	867	74
921	868	73
922	868	72
923	869	71
924	870	70
925	871	69
926	871	68
927	872	67
928	873	66
929	874	65
930	874	64
931	875	63
932	876	62
933	877	61
934	877	61
935	878	60
936	879	59
937	880	58
938	880	57
939	881	56
940	882	55
941	883	54
942	883	53
943	884	52
944	885	51
945	886	50
946	886	49
947	887	48
948	888	47
949	889	46
950	889	45
951	890	44
952	891	43
953	892	43
954	892	42
955	893	41
956	894	40
957	895	39
958	895	38
959	896	37
960	897	36
961	898	35
962	898	34
963	899	33
964	900	32
965	901	31
966	901	30
967	902	29
968	903	28
969	904	27
970	905	27
971	905	26
972	906	25
973	907	24
974	908	23
975	909	22
976	910	21
977	910	20
978	911	19
979	912	18
980	913	17
981	913	16
982	914	15
983	915	14
984	915	13
985	916	13
986	917	12
987	918	11
988	919	10
989	919	9
990	920	8
991	921	7
992	922	6
993	922	5
994	923	4
995	924	3
996	925	2
997	926	1
998	926	0
999	927	0
